nombre,continente,capital,latitud,longitud
AFGANISTAN,ASIA,KABUL,345553,692075
ALBANIA,EUROPA,TIRANA,413275,198189
ALEMANIA,EUROPA,BERLIN,5252,13405
ALGERIA,AFRICA,ARGEL,367539,30589
ANDORRA,EUROPA,ANDORRA LA VELLA,425063,15218
ANGOLA,AFRICA,LUANDA,-88383,132344
ANGUILA,AMERICA,EL VALLE,182167,-6305
ANTARTIDA,ANTARTIDA,,,
ANTIGUA Y BARBUDA,AMERICA,SAN JUAN,171172,-618456
ANTILLAS NEERLANDESAS,AMERICA,WILLEMSTAD,121085,-689335
ARABIA SAUDITA,ASIA,RIAD,247136,466753
ARGENTINA,AMERICA,BUENOS AIRES,-346037,-583816
ARMENIA,ASIA,EREVAN,401792,444991
ARUBA,AMERICA,ORANJESTAD,125186,-700358
AUSTRALIA,AUSTRALIA Y OCEANIA,CANBERRA,-352809,14913
AUSTRIA,EUROPA,VIENA,482082,163738
AZERBAYAN,ASIA,BAKU,404093,498671
BAHAMAS,AMERICA,NASSAU,250478,-773554
BAHREIN,ASIA,MANAMA,262285,50586
BANGLADESH,ASIA,DACA,238103,904125
BARBADOS,AMERICA,BRIDGETOWN,130979,-596145
BELGICA,EUROPA,BRUSELAS,508503,43517
BELICE,AMERICA,BELMOPAN,172514,-887669
BENIN,AFRICA,PORTO NOVO,64969,26289
BHUTAN,ASIA,TIMPU,274728,89639
BIELORRUSIA,EUROPA,MINSK,539045,275615
BIRMANIA,ASIA,NAYPYIDAW,197633,960785
BOLIVIA,AMERICA,SUCRE,-190196,-652619
BOSNIA Y HERZEGOVINA,EUROPA,SARAJEVO,438563,184131
BOTSUANA,AFRICA,GABORONE,-246282,259231
BRASIL,AMERICA,BRASILIA,-157975,-478919
BRUNEI,ASIA,BANDAR SERI BEGAWAN,49031,1149398
BULGARIA,EUROPA,SOFIA,426977,233219
BURKINA FASO,AFRICA,UAGADUGU,123714,-15197
BURUNDI,AFRICA,BUJUMBURA,-33614,293599
CABO VERDE,AFRICA,PRAIA,149331,-235133
CAMBOYA,ASIA,PHNOM PENH,115449,1048922
CAMERUN,AFRICA,YAOUNDE,3848,115021
CANADA,AMERICA,OTTAWA,454215,-756972
CHAD,AFRICA,YAMENA,121348,150557
CHILE,AMERICA,SANTIAGO,-334489,-706693
CHINA,ASIA,PEKIN,399042,1164074
CHIPRE,ASIA,NICOSIA,351856,333823
CIUDAD DEL VATICANO,EUROPA,CIUDAD DEL VATICANO,419029,124534
COLOMBIA,AMERICA,BOGOTA,4711,-740721
COMORAS,AFRICA,MORONI,-117172,432473
CONGO,AFRICA,BRAZZAVILLE,-42634,152429
CONGO,AFRICA,KINSHASA,-44419,152663
COREA DEL NORTE,ASIA,PYONGYANG,390194,1257381
COREA DEL SUR,ASIA,SEUL,375665,126978
COSTA DE MARFIL,AFRICA,YAMUSUKRO,68276,-52893
COSTA RICA,AMERICA,SAN JOSE,99281,-840907
CROACIA,EUROPA,ZAGREB,45815,159819
CUBA,AMERICA,LA HABANA,231136,-823666
DINAMARCA,EUROPA,COPENHAGUE,556761,125683
DOMINICA,AMERICA,ROSEAU,153092,-61379
ECUADOR,AMERICA,QUITO,-1807,-784678
EGIPTO,AFRICA,EL CAIRO,300444,312357
EL SALVADOR,AMERICA,SAN SALVADOR,136929,-892182
EMIRATOS ARABES UNIDOS,ASIA,ABU DHABI,244539,543773
ERITREA,AFRICA,ASMARA,153229,389251
ESLOVAQUIA,EUROPA,BRATISLAVA,481486,171077
ESLOVENIA,EUROPA,LIUBLIANA,460569,145058
ESPANA,EUROPA,MADRID,404168,-37038
ESTADOS UNIDOS DE AMERICA,AMERICA,WASHINGTON,389072,-770369
ESTONIA,EUROPA,TALLIN,59437,247536
ETIOPIA,AFRICA,ADDIS ABEBA,90054,387638
FILIPINAS,ASIA,MANILA,145995,1209842
FINLANDIA,EUROPA,HELSINKI,601699,249384
FIYI,AUSTRALIA Y OCEANIA,SUVA,-181416,1784419
FRANCIA,EUROPA,PARIS,488566,23522
GABON,AFRICA,LIBREVILLE,4162,94673
GAMBIA,AFRICA,BANJUL,134549,-16579
GEORGIA,ASIA, TBILISI,417151,448271
GHANA,AFRICA,ACCRA,56037,-187
GIBRALTAR,EUROPA,GIBRALTAR,361408,-53536
GRANADA,AMERICA,SAN JORGE,120561,-617486
GRECIA,EUROPA,ATENAS,379838,237275
GROENLANDIA,AMERICA,NUUK,641814,-516941
GUADALUPE,AMERICA,BASSE-TERRE,16016,-61706
GUAM,AUSTRALIA Y OCEANIA,HAGATNA,134745,1447505
GUATEMALA,AMERICA,CIUDAD DE GUATEMALA,146349,-905069
GUAYANA FRANCESA,AMERICA,CAYENA,49224,-523135
GUERNSEY,EUROPA,SAN PEDRO PORT,494554,-25365
GUINEA,AFRICA,CONAKRY,96412,-135784
GUINEA ECUATORIAL,AFRICA,MALABO,37504,87371
GUINEA-BISSAU,AFRICA,BISSAU,118817,-156178
GUYANA,AMERICA,GEORGETOWN,68013,-581551
HAITI,AMERICA,PUERTO PRINCIPE,185944,-723074
HONDURAS,AMERICA,TEGUCIGALPA,140723,-871921
HONG KONG,ASIA,VICTORIA,223193,1141694
HUNGRIA,EUROPA,BUDAPEST,474979,190402
INDIA,ASIA,NUEVA DELHI,286139,77209
INDONESIA,ASIA,YAKARTA,-62088,1068456
IRAN,ASIA,TEHERAN,356892,51389
IRAK,ASIA,BAGDAD,333152,443661
IRLANDA,EUROPA,DUBLIN,533498,-62603
ISLA BOUVET,ANTARTIDA,,,
ISLA DE MAN,EUROPA,DOUGLAS,541523,-44861
ISLA DE NAVIDAD,ASIA,FLYING FISH COVE,-104475,1056904
ISLA NORFOLK,AUSTRALIA Y OCEANIA,KINGSTON,-290569,1679617
ISLANDIA,EUROPA,REYKJAVIK,641265,-218174
ISLAS BERMUDAS,AMERICA,HAMILTON,322949,-647814
ISLAS CAIMAN,AMERICA,GEORGE TOWN,192869,-813674
ISLAS COCOS (KEELING),ASIA,WEST ISLAND,-121883,968293
ISLAS COOK,AUSTRALIA Y OCEANIA,AVARUA,-212129,-1597823
ISLAS DE ALAND,EUROPA,MARIEHAMN,601,199333
ISLAS FEROE,EUROPA,TORSHAVN,620079,-6791
ISLAS GEORGIAS DEL SUR Y SANDWICH DEL SUR,AMERICA,GRYTVIKEN,-542766,-365117
ISLAS HEARD Y MCDONALD,ANTARTIDA,,,
ISLAS MALDIVAS,ASIA,MALE,41755,735093
ISLAS MALVINAS,AMERICA,STANLEY,-516977,-578517
ISLAS MARIANAS DEL NORTE,AUSTRALIA Y OCEANIA,SAIPAN,151778,1457509
ISLAS MARSHALL,AUSTRALIA Y OCEANIA,MAJURO,70897,1713803
ISLAS PITCAIRN,AUSTRALIA Y OCEANIA,ADAMSTOWN,-250663,-1301005
ISLAS SALOMON,AUSTRALIA Y OCEANIA,HONIARA,-94456,1599729
ISLAS TURCAS Y CAICOS,AMERICA,COCKBURN TOWN,214675,-711389
ISLAS ULTRAMARINAS MENORES DE ESTADOS UNIDOS,,,,
ISLAS VIRGENES BRITANICAS,AMERICA,ROAD TOWN,184286,-646185
ISLAS VIRGENES DE LOS ESTADOS UNIDOS,AMERICA,CHARLOTTE AMALIE,183419,-649307
ISRAEL,ASIA,JERUSALEN,317683,352137
ITALIA,EUROPA,ROMA,419028,124964
JAMAICA,AMERICA,KINGSTON,179714,-767932
JAPON,ASIA,TOKIO,356762,1396503
JERSEY,EUROPA,SAINT HELIER,49186,-21065
JORDANIA,ASIA,AMMAN,319539,359106
KAZAJISTAN,ASIA,ASTANA,511605,714704
