nomb_uni,id
UNIVERSIDAD CENTRAL DE VENEZUELA,01
UNIVERSIDAD NACIONAL ABIERTA,01
UNIVERSIDAD PEDAGOGICA EXPERIMENTAL LIBERTADOR,01
UNIVERSIDAD NACIONAL EXPERIMENTAL SIMON RODRIGUEZ,01
UNIVERSIDAD MILITAR BOLIVARIANA DE VENEZUELA,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LA SEGURIDAD,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DEL TRANSPORTE,01
UNIVERSIDAD POLITECNICA TERRITORIAL DE CARACAS �MARISCAL SUCRE�,01
UNIVERSIDAD CATOLICA ANDRES BELLO,01
COLEGIO UNIVERSITARIO DE ENFERMERIA CENTRO MEDICO DE CARACAS,01
COLEGIO UNIVERSITARIO DE ENFERMERIA DE LA CRUZ ROJA DE VENEZUELA,01
COLEGIO UNIVERSITARIO DE PSICOPEDAGOGIA,01
INSTITUTO UNIVERSITARIO DE ADMINISTRACION Y GERENCIA,01
INSTITUTO UNIVERSITARIO DE GERENCIA Y TECNOLOGIA,01
INSTITUTO UNIVERSITARIO DE MERCADOTECNIA,01
INSTITUTO UNIVERSITARIO DE PROFESIONES GERENCIALES,01
INSTITUTO UNIVERSITARIO DE RELACIONES PUBLICAS,01
INSTITUTO UNIVERSITARIO DE SEGUROS,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA ALBERTO ADRIANI,01
COLEGIO UNIVERSITARIO DE ADMINISTRACION Y MERCADEO,01
COLEGIO UNIVERSITARIO FERMIN TORO,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA VENEZUELA,01
INSTITUTO UNIVERSITARIO JESUS OBRERO,01
INSTITUTO UNIVERSITARIO PEDAGOGICO MONSENOR RAFAEL ARIAS BLANCO,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA INDUSTRIAL RODOLFO LOERO ARISMENDI,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA INDUSTRIAL,01
INSTITUTO UNIVERSITARIO YMCA LOPE MENDOZA,01
UNIVERSIDAD CATOLICA SANTA ROSA,01
UNIVERSIDAD CENTRAL DE VENEZUELA,01
UNIVERSIDAD NACIONAL EXPERIMENTAL SIMON RODRIGUEZ,01
UNIVERSIDAD PEDAGOGICA EXPERIMENTAL LIBERTADOR,01
UNIVERSIDAD NACIONAL EXPERIMENTAL POLITECNICA ANTONIO JOSE DE SUCRE,01
COLEGIO UNIVERSITARIO DE ENFERMERIA DE LA ALCALDIA METROPOLITANA DE CARACAS,01
UNIVERSIDAD NACIONAL EXPERIMENTAL POLITECNICA ANTONIO JOSE DE SUCRE,01
UNIVERSIDAD PEDAGOGICA EXPERIMENTAL LIBERTADOR,01
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,01
UNIVERSIDAD PEDAGOGICA EXPERIMENTAL LIBERTADOR,01
UNIVERSIDAD BOLIVARIANA DE VENEZUELA,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DEL TRANSPORTE,01
UNIVERSIDAD POLITECNICA TERRITORIAL DE CARACAS �MARISCAL SUCRE�,01
UNIVERSIDAD POLITECNICA TERRITORIAL DE CARACAS �MARISCAL SUCRE�,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS ARTES (UNEARTE),01
COLEGIO UNIVERSITARIO DE REHABILITACION MAY HAMILTON,01
UNIVERSIDAD NACIONAL EXPERIMENTAL POLITECNICA DE LA FUERZA ARMADA NACIONAL,01
UNIVERSIDAD DE LAS CIENCIAS DE LA SALUD HUGO CHAVEZ FRIAS,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LA GRAN CARACAS,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS TELECOMUNICACIONES E INFORMATICA,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA DEL OESTE MARISCAL SUCRE,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA DR. FEDERICO RIVERO PALACIO,01
COLEGIO UNIVERSITARIO FRANCISCO DE MIRANDA,01
INSTITUTO UNIVERSITARIO DE LA POLICIA METROPOLITANA,01
INSTITUTO UNIVERSITARIO DE POLICIA CIENTIFICA,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS ARTES (UNEARTE-MUSICA),01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS ARTES (UNEARTE-TEATRO),01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS ARTES (UNEARTE-ARTES PLASTICAS),01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS ARTES (UNEARTE-DANZA),01
INSTITUTO UNIVERSITARIO NACIONAL DE ESTUDIOS PENITENCIARIOS,01
ACADEMIA MILITAR DE VENEZUELA,01
ESCUELA DE FORMACION DE OFICIALES DE LA GUARDIA NACIONAL,01
INSTITUTO UNIVERSITARIO MILITAR DE COMUNICACIONES Y ELECTRONICA DE LA FUERZA ARMADA NACIONAL,01
UNIVERSIDAD PRIVADA NUEVA ESPARTA,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS ARTES (UNEARTE),01
UNIVERSIDAD NACIONAL EXPERIMENTAL DEL MAGISTERIO SAMUEL ROBINSON,01
INSTITUTO UNIVERSITARIO DE EDUCACION ESPECIALIZADA,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DE LAS ARTES (UNEARTE-ARTES PLASTICAS),01
UNIVERSIDAD MILITAR BOLIVARIANA DE VENEZUELA,01
UNIVERSIDAD NACIONAL EXPERIMENTAL DEL MAGISTERIO SAMUEL ROBINSON,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA DE ADMINISTRACION INDUSTRIAL,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA INDUSTRIAL RODOLFO LOERO ARISMENDI,01
INSTITUTO UNIVERSITARIO DE TECNOLOGIA INDUSTRIAL RODOLFO LOERO ARISMENDI,01
UNIVERSIDAD NACIONAL ABIERTA,02
UNIVERSIDAD NACIONAL EXPERIMENTAL SIMON RODRIGUEZ,02
UNIVERSIDAD SANTA MARIA,02
UNIVERSIDAD CENTRAL DE VENEZUELA,02
UNIVERSIDAD NACIONAL EXPERIMENTAL POLITECNICA DE LA FUERZA ARMADA NACIONAL,02
UNIVERSIDAD DE LAS CIENCIAS DE LA SALUD HUGO CHAVEZ FRIAS,02
UNIVERSIDAD NACIONAL EXPERIMENTAL DEL MAGISTERIO SAMUEL ROBINSON,02
INSTITUTO UNIVERSITARIO DE TECNOLOGIA AMAZONAS,02
UNIVERSIDAD NACIONAL ABIERTA,03
UNIVERSIDAD NACIONAL EXPERIMENTAL POLITECNICA DE LA FUERZA ARMADA NACIONAL,03
UNIVERSIDAD NACIONAL EXPERIMENTAL SIMON RODRIGUEZ,03
UNIVERSIDAD NACIONAL DEL TURISMO,03
INSTITUTO UNIVERSITARIO DE TECNOLOGIA \GENERAL PEDRO MARIA FREITES\,03
INSTITUTO UNIVERSITARIO DE TECNOLOGIA HENRY PITTIER,03
INSTITUTO UNIVERSITARIO DE TECNOLOGIA SUPERIOR DE ORIENTE,03
INSTITUTO UNIVERSITARIO DE TECNOLOGIA JUAN PABLO PEREZ ALFONZO,03
INSTITUTO UNIVERSITARIO PEDAGOGICO MONSENOR RAFAEL ARIAS BLANCO,03
INSTITUTO UNIVERSITARIO DE TECNOLOGIA INDUSTRIAL RODOLFO LOERO ARISMENDI,03
UNIVERSIDAD SANTA MARIA,03
INSTITUTO UNIVERSITARIO POLITECNICO SANTIAGO MARINO,03
UNIVERSIDAD CENTRAL DE VENEZUELA,03
UNIVERSIDAD DE ORIENTE,03
UNIVERSIDAD NACIONAL EXPERIMENTAL SIMON RODRIGUEZ,03
